clientID,lastCommunicTime,information,averageCommunicLength,clientSpecialisation
client1,2010-04-18,high,88,simple
client2,2014-03-24,medium,34,complex
client3,2013-07-14,low,40,complex
client4,2018-01-04,high,33,simple
client5,2019-06-08,high,83,complex
client6,2013-06-15,high,21,simple
client7,2017-08-25,low,77,complex
client8,2011-08-31,high,28,complex
client9,2020-03-11,high,86,complex
client10,2010-05-26,low,26,simple
client11,2018-02-24,low,19,simple
client12,2018-09-15,low,44,complex
client13,2012-03-12,medium,62,complex
client14,2019-07-07,low,15,complex
client15,2010-09-09,high,87,complex
client16,2010-12-14,high,32,complex
client17,2017-09-01,high,83,complex
client18,2019-05-10,low,94,complex
client19,2017-06-27,high,87,complex
client20,2020-01-22,high,49,complex
client21,2011-12-07,low,87,simple
client22,2015-07-10,high,37,simple
client23,2018-02-03,medium,57,simple
client24,2013-02-13,medium,59,complex
client25,2018-09-10,high,82,complex
client26,2015-01-27,medium,0,complex
client27,2011-12-14,low,39,simple
client28,2010-06-06,medium,92,simple
client29,2012-04-08,high,62,complex
client30,2019-11-19,medium,57,simple
client31,2016-11-29,high,36,complex
client32,2013-11-30,medium,93,simple
client33,2017-12-30,high,72,complex
client34,2016-01-13,medium,29,simple
client35,2011-06-17,low,15,complex
client36,2013-06-20,high,54,simple
client37,2020-02-22,low,85,complex
client38,2019-03-06,high,85,simple
client39,2012-04-14,low,79,simple
client40,2015-02-01,medium,38,complex
client41,2015-05-21,medium,52,complex
client42,2015-02-12,high,9,complex
client43,2016-06-02,low,6,complex
client44,2011-09-12,low,97,simple
client45,2011-10-20,high,26,simple
client46,2012-08-17,medium,96,simple
client47,2011-09-30,medium,30,simple
client48,2014-01-01,low,43,simple
client49,2014-07-17,medium,3,complex
client50,2013-01-01,low,94,complex
client51,2018-06-12,medium,4,complex
client52,2012-10-09,high,16,simple
client53,2019-01-05,high,55,complex
client54,2014-06-13,high,94,complex
client55,2011-08-26,low,4,simple
client56,2020-02-18,high,42,simple
client57,2019-05-13,high,49,complex
client58,2019-10-01,medium,80,simple
client59,2017-03-05,medium,9,simple
client60,2016-02-17,high,49,complex
client61,2015-06-16,low,92,complex
client62,2017-08-23,low,64,simple
client63,2013-07-29,medium,41,complex
client64,2013-08-29,medium,18,complex
client65,2010-07-15,high,17,complex
client66,2014-08-17,high,45,simple
client67,2011-04-18,low,96,simple
client68,2011-09-26,high,76,simple
client69,2018-10-25,high,67,simple
client70,2019-06-28,medium,56,complex
client71,2011-02-20,low,21,simple
client72,2017-05-07,low,46,simple
client73,2013-12-28,low,70,simple
client74,2018-07-07,low,59,simple
client75,2013-10-26,low,38,simple
client76,2016-04-16,medium,23,complex
client77,2011-06-15,low,28,complex
client78,2019-11-30,high,16,simple
client79,2014-06-07,high,26,complex
client80,2014-04-24,high,41,complex
client81,2015-01-18,medium,69,complex
client82,2012-03-05,low,6,simple
client83,2011-01-27,medium,40,simple
client84,2012-05-22,high,97,complex
client85,2019-03-10,high,35,simple
client86,2015-06-29,low,21,simple
client87,2011-04-16,low,65,simple
client88,2012-11-24,low,96,simple
client89,2014-11-23,low,6,complex
client90,2015-07-22,low,19,simple
client91,2017-02-11,medium,34,complex
client92,2019-12-04,high,92,complex
client93,2011-03-01,high,7,simple
client94,2014-12-03,high,39,complex
client95,2010-11-29,medium,32,simple
client96,2011-07-28,low,63,complex
client97,2015-03-03,high,38,simple
client98,2012-10-04,low,38,complex
client99,2013-12-17,medium,89,complex
client100,2017-07-15,medium,49,simple
